NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
27152;Wedson Lima De Andrade;Wedson Ttk;DC;N?O ELEITO;113
30133;Adriana De Lima Silva;Adriana Vigilante;NOVO;SUPLENTE;113
45645;Osvaldo Alves Cavalcante;Osvaldo Cavalcante;PSDB;N?O ELEITO;112
45777;Mizael Trindade Ferreira;Mizael Trindade;PSDB;N?O ELEITO;112
11112;Marcos Vieira Do Nascimento;Tio Marcos Vieira;PP;SUPLENTE;109
25666;Patricia Eug?nia Da Silva;Patricia Eugenia;PRD;SUPLENTE;109
22555;Caio Eduardo Cardoso Alves;Caio Eduardo;PL;SUPLENTE;108
23001;Agenor J?lio Xavier;Agenor Da ?gua;CIDADANIA;N?O ELEITO;106
25678;Marize Jos? Dos Santos Silva;Mary Da Sa?de;PRD;SUPLENTE;106
70236;Josineide Da Silva Felix;Irm? Neide;AVANTE;SUPLENTE;106
22017;Marcia Ramos De Amorim;Marcia Maia;PL;SUPLENTE;105
27981;Josenildo Teixeira Da Silva;Josenildo Teixeira;DC;N?O ELEITO;104
22015;Rosimery Miguel De Souza;Rosimery Enfermeira;PL;SUPLENTE;103
45123;Emerson Lardi?o De Souza;Emerson Lardi?o;PSDB;N?O ELEITO;103
25222;Henrique Roberto Virginio Do Nascimento;Henrique Roberto;PRD;SUPLENTE;102
27195;Ant?nio Sancler Dias Dos Santos;Sancler;DC;N?O ELEITO;101
27888;Sara Carolina Braga Santos;Sara Braga;DC;N?O ELEITO;101
55888;Jos? Evaristo Alves Filho;Mission?rio Evaristo Filho;PSD;SUPLENTE;101
33323;Eunice Aparecida De Souza Alves De Melo;Eunice Melo;MOBILIZA;N?O ELEITO;100
16123;Caio Marx Lopes Dos Santos;Caio Marx;PSTU;N?O ELEITO;95
11222;Renata Vanessa Barbosa De Lima;Renata Lima;PP;SUPLENTE;94
33555;Josafa Ribeiro Da Silva;Josafa Alabastro;MOBILIZA;N?O ELEITO;93
33609;Nadelson Leite Costa;Nadelson Leite;MOBILIZA;N?O ELEITO;93
70400;Andrenia Bianka Martins De Franca;Andreina Bianka;AVANTE;N?O ELEITO;93
70400;Crislainy De Melo Fabricio;Crislainy Fabricio;AVANTE;N?O ELEITO;93
25765;Liliane Janaina Da Silva;Lili Do Caldinho;PRD;SUPLENTE;92
55655;Anast?cia Otaviano Dantas De S? Cruz;Anastacia De S?;PSD;SUPLENTE;92
22666;Aid? Batista De Santana;Aid? Batista;PL;SUPLENTE;91
55024;Rosineide Da Silva Barbosa;Neide Da Sa?de;PSD;SUPLENTE;88
55234;Daniela Dias Dos Santos;Dani Dias;PSD;SUPLENTE;88
33123;Vilma Maria Ferreira;Vilma Ferreira;MOBILIZA;N?O ELEITO;87
55456;Celso Rodrigues Da Silva;Celso Rodrigues;PSD;SUPLENTE;87
55500;Andr?a Paula Da Silva Costa;Andr?a Costa;PSD;SUPLENTE;87
77000;Aurineque Da Costa Silva Filho;Aurineque Filho;SOLIDARIEDADE;N?O ELEITO;86
23654;Valdir Jos? Da Cruz;Valdir Palha?o;CIDADANIA;N?O ELEITO;85
43211;Thiago Camelo De Oliveira;Thiago Botinha;PV;SUPLENTE;85
11124;Everaldo Nunes Queiroz;Vev?;PP;SUPLENTE;84
25620;Jaqueline Maria Gomes;Jaqueline (M?);PRD;SUPLENTE;84
45040;Ednilson Andr? Dos Santos;Pel? De Deus;PSDB;N?O ELEITO;83
45045;Ant?nio Da Silva Machado;Toinho De Casa Amarela;PSDB;N?O ELEITO;83
50339;Valmir Da Silva Ara?jo;Fub?;PSOL;SUPLENTE;82
13133;Renan Bastos Nunes;Renan Nunes;PT;SUPLENTE;81
70040;Patricia Almeida Matos Diniz;Patricia Diniz;AVANTE;SUPLENTE;81
50007;Tiago Silva;Tiago Silva;PSOL;SUPLENTE;79
33055;Cassio Murilo Coelho Cavalcante;Cassio Cavalcante;MOBILIZA;N?O ELEITO;78
25717;Maria Marques Do Nascimento Flor;Maria Flor;PRD;SUPLENTE;77
16016;Val?ria Do Nascimento Felix;Val?ria Felix;PSTU;N?O ELEITO;76
27222;Glauber Derlland Da Silva Gabriel;Tio Glauber Telecom;DC;N?O ELEITO;76
65145;Romualdo Antonio Da Silva;Neg?o De Nair;PC do B;SUPLENTE;76
55100;Maria Eduarda Dos Santos Pereira;Duda Santos;PSD;SUPLENTE;75
33533;Ronaldo Luiz Gomes Ribeiro;Ronaldinho;MOBILIZA;N?O ELEITO;73
25218;Leandro Wilkerson Bernardo Silva;Leandro Silva;PRD;SUPLENTE;71
30330;Maxmilian Da Costa De Souza;Maxmilian Costa;NOVO;SUPLENTE;71
33122;Robson Lucena Lopes;Robson Lucena ;MOBILIZA;N?O ELEITO;70
